id	name	textpath	key	link	hassubcats	hasproducts	parentkey
	Automotive Exterior	Home:Fleet and Vehicle Maintenance:Automotive Exterior	N-cti	http://www.grainger.com/Grainger/automotive-exterior/fleet-and-vehicle-maintenance/ecatalog/N-cti?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Interior	Home:Fleet and Vehicle Maintenance:Automotive Interior	N-cub	http://www.grainger.com/Grainger/automotive-interior/fleet-and-vehicle-maintenance/ecatalog/N-cub?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Lifting Tools	Home:Fleet and Vehicle Maintenance:Automotive Lifting Tools	N-cuj	http://www.grainger.com/Grainger/automotive-lifting-tools/fleet-and-vehicle-maintenance/ecatalog/N-cuj?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Lifting/Garage Equipment	Home:Fleet and Vehicle Maintenance:Automotive Lifting/Garage Equipment	N-cus	http://www.grainger.com/Grainger/automotive-lifting-garage-equipment/fleet-and-vehicle-maintenance/ecatalog/N-cus?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Lubricants	Home:Fleet and Vehicle Maintenance:Automotive Lubricants	N-cv1	http://www.grainger.com/Grainger/automotive-lubricants/fleet-and-vehicle-maintenance/ecatalog/N-cv1?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Maintenance Tools	Home:Fleet and Vehicle Maintenance:Automotive Maintenance Tools	N-cv4	http://www.grainger.com/Grainger/automotive-maintenance-tools/fleet-and-vehicle-maintenance/ecatalog/N-cv4?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Mechanical	Home:Fleet and Vehicle Maintenance:Automotive Mechanical	N-cvh	http://www.grainger.com/Grainger/automotive-mechanical/fleet-and-vehicle-maintenance/ecatalog/N-cvh?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Automotive Towing	Home:Fleet and Vehicle Maintenance:Automotive Towing	N-cwm	http://www.grainger.com/Grainger/automotive-towing/fleet-and-vehicle-maintenance/ecatalog/N-cwm?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Replacement Parts	Home:Fleet and Vehicle Maintenance:Replacement Parts	N-cwx	http://www.grainger.com/Grainger/replacement-parts/fleet-and-vehicle-maintenance/ecatalog/N-cwx?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Tire and Wheel	Home:Fleet and Vehicle Maintenance:Tire and Wheel	N-k3j	http://www.grainger.com/Grainger/tire-and-wheel/fleet-and-vehicle-maintenance/ecatalog/N-k3j?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cxn
	Bedroom Furniture	"Home:Furniture, Hospitality and Food Service:Bedroom Furniture"	N-isc	http://www.grainger.com/Grainger/bedroom-furniture/furniture-hospitality-and-food-service/ecatalog/N-isc?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-j0r
	Exercise Equipment	"Home:Furniture, Hospitality and Food Service:Exercise Equipment"	N-isi	http://www.grainger.com/Grainger/exercise-equipment/furniture-hospitality-and-food-service/ecatalog/N-isi?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-j0r
	Food Service Apparel	"Home:Furniture, Hospitality and Food Service:Food Service Apparel"	N-ist	http://www.grainger.com/Grainger/food-service-apparel/furniture-hospitality-and-food-service/ecatalog/N-ist?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-j0r
	Food Service Appliances and Equipment	"Home:Furniture, Hospitality and Food Service:Food Service Appliances and Equipment"	N-isz	http://www.grainger.com/Grainger/food-service-appliances-and-equipment/furniture-hospitality-and-food-service/ecatalog/N-isz?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-j0r
